dia_semana,hora,LINEA,ID,TOTAL
lunes,5,LINEA_D,56,27
lunes,5,LINEA_D,62,105
lunes,5,LINEA_D,63,89
lunes,5,LINEA_D,64,113
lunes,5,LINEA_D,65,97
lunes,5,LINEA_D,69,82
lunes,5,LINEA_D,71,241
lunes,5,LINEA_E,44,34
lunes,5,LINEA_E,45,13
lunes,5,LINEA_E,46,50
lunes,5,LINEA_E,47,33
lunes,5,LINEA_E,48,35
lunes,5,LINEA_E,49,47
lunes,5,LINEA_E,50,37
lunes,5,LINEA_E,51,43
lunes,5,LINEA_E,52,34
lunes,5,LINEA_E,53,48
lunes,5,LINEA_E,59,17
lunes,5,LINEA_E,60,61
lunes,5,LINEA_E,61,38
lunes,5,LINEA_E,67,269
lunes,5,LINEA_E,68,44
lunes,5,LINEA_H,1,74
lunes,5,LINEA_H,2,66
lunes,5,LINEA_H,3,38
lunes,5,LINEA_H,4,108
lunes,5,LINEA_H,5,181
lunes,5,LINEA_H,77,28
lunes,5,LINEA_H,78,217
lunes,5,LINEA_H,79,275
lunes,5,LINEA_H,84,29
lunes,5,LINEA_H,85,39
lunes,5,LINEA_H,86,42
lunes,6,LINEA_A,31,124
lunes,6,LINEA_A,32,129
lunes,6,LINEA_A,33,316
lunes,6,LINEA_A,34,241
lunes,6,LINEA_A,35,418
lunes,6,LINEA_A,36,139
lunes,6,LINEA_A,37,125
lunes,6,LINEA_A,38,1174
lunes,6,LINEA_A,39,516
lunes,6,LINEA_A,40,447
lunes,6,LINEA_A,41,526
lunes,6,LINEA_A,42,909
lunes,6,LINEA_A,43,1168
lunes,6,LINEA_A,70,763
lunes,6,LINEA_A,75,817
lunes,6,LINEA_A,76,459
lunes,6,LINEA_A,82,1133
lunes,6,LINEA_A,83,3247
lunes,6,LINEA_B,20,147
lunes,6,LINEA_B,21,804
lunes,6,LINEA_B,22,316
lunes,6,LINEA_B,23,460
lunes,6,LINEA_B,24,297
lunes,6,LINEA_B,25,480
lunes,6,LINEA_B,26,432
lunes,6,LINEA_B,27,794
lunes,6,LINEA_B,28,837
lunes,6,LINEA_B,29,1042
lunes,6,LINEA_B,30,794
lunes,6,LINEA_B,66,4762
lunes,6,LINEA_B,72,1616
lunes,6,LINEA_B,73,342
lunes,6,LINEA_B,74,960
lunes,6,LINEA_B,80,657
lunes,6,LINEA_B,81,3479
lunes,6,LINEA_C,13,3786
lunes,6,LINEA_C,14,198
lunes,6,LINEA_C,15,74
lunes,6,LINEA_C,16,253
lunes,6,LINEA_C,17,208
lunes,6,LINEA_C,18,417
lunes,6,LINEA_C,19,21068
lunes,6,LINEA_C,57,214
lunes,6,LINEA_C,58,430
lunes,6,LINEA_D,6,331
lunes,6,LINEA_D,7,334
lunes,6,LINEA_D,8,183
lunes,6,LINEA_D,9,527
lunes,6,LINEA_D,10,515
lunes,6,LINEA_D,11,480
lunes,6,LINEA_D,12,1201
lunes,6,LINEA_D,54,604
lunes,6,LINEA_D,55,275
lunes,6,LINEA_D,56,193
lunes,6,LINEA_D,62,733
lunes,6,LINEA_D,63,625
lunes,6,LINEA_D,64,722
lunes,6,LINEA_D,65,836
lunes,6,LINEA_D,69,554
lunes,6,LINEA_D,71,2848
lunes,6,LINEA_E,44,240
lunes,6,LINEA_E,45,89
lunes,6,LINEA_E,46,328
lunes,6,LINEA_E,47,215
lunes,6,LINEA_E,48,155
lunes,6,LINEA_E,49,175
lunes,6,LINEA_E,50,225
lunes,6,LINEA_E,51,276
lunes,6,LINEA_E,52,381
lunes,6,LINEA_E,53,508
lunes,6,LINEA_E,59,210
lunes,6,LINEA_E,60,370
lunes,6,LINEA_E,61,338
lunes,6,LINEA_E,67,1799
lunes,6,LINEA_E,68,313
lunes,6,LINEA_H,1,353
lunes,6,LINEA_H,2,361
lunes,6,LINEA_H,3,358
lunes,6,LINEA_H,4,492
lunes,6,LINEA_H,5,1055
lunes,6,LINEA_H,77,155
lunes,6,LINEA_H,78,1088
lunes,6,LINEA_H,79,1929
lunes,6,LINEA_H,84,248
lunes,6,LINEA_H,85,356
lunes,6,LINEA_H,86,267
lunes,7,LINEA_A,31,281
lunes,7,LINEA_A,32,244
lunes,7,LINEA_A,33,707
lunes,7,LINEA_A,34,628
lunes,7,LINEA_A,35,1018
lunes,7,LINEA_A,36,295
lunes,7,LINEA_A,37,327
lunes,7,LINEA_A,38,2140
lunes,7,LINEA_A,39,1181
lunes,7,LINEA_A,40,1499
lunes,7,LINEA_A,41,1867
lunes,7,LINEA_A,42,2772
lunes,7,LINEA_A,43,3303
lunes,7,LINEA_A,70,1520
lunes,7,LINEA_A,75,3010
lunes,7,LINEA_A,76,1587
lunes,7,LINEA_A,82,3344
lunes,7,LINEA_A,83,9931
lunes,7,LINEA_B,20,344
lunes,7,LINEA_B,21,2102
lunes,7,LINEA_B,22,719
lunes,7,LINEA_B,23,1078
lunes,7,LINEA_B,24,728
lunes,7,LINEA_B,25,1202
lunes,7,LINEA_B,26,1250
lunes,7,LINEA_B,27,2373
lunes,7,LINEA_B,28,2939
lunes,7,LINEA_B,29,3851
lunes,7,LINEA_B,30,2035
lunes,7,LINEA_B,66,10413
lunes,7,LINEA_B,72,2907
lunes,7,LINEA_B,73,1110
lunes,7,LINEA_B,74,3047
lunes,7,LINEA_B,80,2395
lunes,7,LINEA_B,81,10143
lunes,7,LINEA_C,13,7584
lunes,7,LINEA_C,14,359
lunes,7,LINEA_C,15,298
lunes,7,LINEA_C,16,688
lunes,7,LINEA_C,17,434
lunes,7,LINEA_C,18,977
lunes,7,LINEA_C,19,32046
lunes,7,LINEA_C,57,452
lunes,7,LINEA_C,58,871
lunes,7,LINEA_D,6,923
lunes,7,LINEA_D,7,1048
lunes,7,LINEA_D,8,606
lunes,7,LINEA_D,9,2113
lunes,7,LINEA_D,10,2274
lunes,7,LINEA_D,11,1724
lunes,7,LINEA_D,12,2880
lunes,7,LINEA_D,54,2255
lunes,7,LINEA_D,55,1346
lunes,7,LINEA_D,56,793
lunes,7,LINEA_D,62,2550
lunes,7,LINEA_D,63,2323
lunes,7,LINEA_D,64,2445
lunes,7,LINEA_D,65,2719
lunes,7,LINEA_D,69,1401
lunes,7,LINEA_D,71,9178
